Datetime,Tweet Id,Location,Username,Text,remove_user,normalisasi,case_folding,tokenisasi,stopword_removal,stemming,scores,compound,sentimen
2022-12-13 23:24:59+00:00,1.60E+23,"Batam, Indonesia",gokepricom,b'Dispar Kepri Jamin RUU KUHP yang Baru Tak Ganggu Pariwisata https://t.co/95ZjYSYKpA',b'Dispar Kepri Jamin RUU KUHP yang Baru Tak Ganggu Pariwisata https://t.co/95ZjYSYKpA', Dispar Kepri Jamin RUU KUHP yang Baru Tak Ganggu Pariwisata , dispar kepri jamin ruu kuhp yang baru tak ganggu pariwisata ,"['dispar', 'kepri', 'jamin', 'ruu', 'kuhp', 'yang', 'baru', 'tak', 'ganggu', 'pariwisata']","['dispar', 'kepri', 'jamin', 'ruu', 'kuhp', 'ganggu', 'pariwisata']",dispar kepri jamin ruu kuhp ganggu pariwisata,"{'neg': 0.193, 'neu': 0.68, 'pos': 0.128, 'compound': -0.2828}",-0.2828,negatif
2022-12-13 23:23:28+00:00,1.60E+23,"Bali, Indonesia",MenSang3,"b'Ini RUU KUHP maksudnya...pacaran di hotel, ML polisi gak bisa gerebek, harus ortunya yang lapor, kalau lapor, anaknya juga harus dilaporin, gak boleh 1 aja.... https://t.co/6ji6kfBdJ8'","b'Ini RUU KUHP maksudnya...pacaran di hotel, ML polisi gak bisa gerebek, harus ortunya yang lapor, kalau lapor, anaknya juga harus dilaporin, gak boleh 1 aja.... https://t.co/6ji6kfBdJ8'", Ini RUU KUHP maksudnya pacaran hotel polisi gak bisa gerebek harus ortunya yang lapor kalau lapor anaknya juga harus dilaporin gak boleh aja , ini ruu kuhp maksudnya pacaran hotel polisi gak bisa gerebek harus ortunya yang lapor kalau lapor anaknya juga harus dilaporin gak boleh aja ,"['ini', 'ruu', 'kuhp', 'maksudnya', 'pacaran', 'hotel', 'polisi', 'gak', 'bisa', 'gerebek', 'harus', 'ortunya', 'yang', 'lapor', 'kalau', 'lapor', 'anaknya', 'juga', 'harus', 'dilaporin', 'gak', 'boleh', 'aja']","['ruu', 'kuhp', 'maksudnya', 'pacaran', 'hotel', 'polisi', 'gerebek', 'ortunya', 'lapor', 'lapor', 'anaknya', 'dilaporin']",ruu kuhp maksud pacar hotel polisi gerebek ortunya lapor lapor anak dilaporin,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.6207}",-0.6207,negatif
2022-12-13 23:21:42+00:00,1.60E+23,,UmmuZaki30,"b'""Pasal Karet"" RUU KUHP AntiDemokrasi: Menyeret Rakyat ke Penjara demi Menjamin Kenyamanan Penguasa https://t.co/GHkXR32zkT'","b'""Pasal Karet"" RUU KUHP AntiDemokrasi: Menyeret Rakyat ke Penjara demi Menjamin Kenyamanan Penguasa https://t.co/GHkXR32zkT'", Pasal Karet RUU KUHP AntiDemokrasi Menyeret Rakyat Penjara demi Menjamin Kenyamanan Penguasa , pasal karet ruu kuhp antidemokrasi menyeret rakyat penjara demi menjamin kenyamanan penguasa ,"['pasal', 'karet', 'ruu', 'kuhp', 'antidemokrasi', 'menyeret', 'rakyat', 'penjara', 'demi', 'menjamin', 'kenyamanan', 'penguasa']","['pasal', 'karet', 'ruu', 'kuhp', 'antidemokrasi', 'menyeret', 'rakyat', 'penjara', 'menjamin', 'kenyamanan', 'penguasa']",pasal karet ruu kuhp antidemokrasi seret rakyat penjara jamin nyaman kuasa,"{'neg': 0.275, 'neu': 0.557, 'pos': 0.167, 'compound': -0.5106}",-0.5106,negatif
2022-12-13 22:13:03+00:00,1.60E+23,Indonesia,kompasiana,b'Kohabitasi antara Penolakan dan Penerimaan sebagai Dampak Pengesahan RUU KUHP Baru https://t.co/xlb87ZfFVD #HLKompasiana',b'Kohabitasi antara Penolakan dan Penerimaan sebagai Dampak Pengesahan RUU KUHP Baru https://t.co/xlb87ZfFVD #HLKompasiana', Kohabitasi antara Penolakan dan Penerimaan sebagai Dampak Pengesahan RUU KUHP Baru HLKompasiana , kohabitasi antara penolakan dan penerimaan sebagai dampak pengesahan ruu kuhp baru hlkompasiana ,"['kohabitasi', 'antara', 'penolakan', 'dan', 'penerimaan', 'sebagai', 'dampak', 'pengesahan', 'ruu', 'kuhp', 'baru', 'hlkompasiana']","['kohabitasi', 'penolakan', 'penerimaan', 'dampak', 'pengesahan', 'ruu', 'kuhp', 'hlkompasiana']",kohabitasi tolak terima dampak kesah ruu kuhp hlkompasiana,"{'neg': 0.301, 'neu': 0.568, 'pos': 0.131, 'compound': -0.5994}",-0.5994,negatif
2022-12-13 22:01:28+00:00,1.60E+23,,DemokratProbo1,"b'jangan diam, perjuangkan hak rakyat salam RUU KUHP baru. janban sampai rakyat mati terjerat aturan pemerintah.\n\n#ahy #AHYPimpinPerubahan #demokrat #demokratjatim #DemokratHarapanRakyat #emilsangdemokrat\nhttps://t.co/mhaDHr4kEa'","b'jangan diam, perjuangkan hak rakyat salam RUU KUHP baru. janban sampai rakyat mati terjerat aturan pemerintah.\n\n#ahy #AHYPimpinPerubahan #demokrat #demokratjatim #DemokratHarapanRakyat #emilsangdemokrat\nhttps://t.co/mhaDHr4kEa'", jangan diam perjuangkan hak rakyat salam RUU KUHP baru janban sampai rakyat mati terjerat aturan pemerintah ahy AHYPimpinPerubahan demokrat demokratjatim DemokratHarapanRakyat emilsangdemokrat , jangan diam perjuangkan hak rakyat salam ruu kuhp baru janban sampai rakyat mati terjerat aturan pemerintah ahy ahypimpinperubahan demokrat demokratjatim demokratharapanrakyat emilsangdemokrat ,"['jangan', 'diam', 'perjuangkan', 'hak', 'rakyat', 'salam', 'ruu', 'kuhp', 'baru', 'janban', 'sampai', 'rakyat', 'mati', 'terjerat', 'aturan', 'pemerintah', 'ahy', 'ahypimpinperubahan', 'demokrat', 'demokratjatim', 'demokratharapanrakyat', 'emilsangdemokrat']","['diam', 'perjuangkan', 'hak', 'rakyat', 'salam', 'ruu', 'kuhp', 'janban', 'rakyat', 'mati', 'terjerat', 'aturan', 'pemerintah', 'ahy', 'ahypimpinperubahan', 'demokrat', 'demokratjatim', 'demokratharapanrakyat', 'emilsangdemokrat']",diam juang hak rakyat salam ruu kuhp janban rakyat mati jerat atur perintah ahy ahypimpinperubahan demokrat demokratjatim demokratharapanrakyat emilsangdemokrat,"{'neg': 0.1, 'neu': 0.772, 'pos': 0.128, 'compound': 0.0217}",0.0217,positif
2022-12-13 21:20:35+00:00,1.60E+23,"Pamekasan, Jawa Timur",Mansyah0602,"b'RUU KUHP harusnya yang paling disorot pengurangan masa tahanan KORUPTOR dan dendanya, maksudnya apa tujuan seorang KORUPTOR itu diberi keringanan ?, Kalo gitu apa bener yang namanya DPR itu menjadi perwakilan Rakyat?, Apa karena Koruptor itu juga rakyat jadi mereka dilindungi?'","b'RUU KUHP harusnya yang paling disorot pengurangan masa tahanan KORUPTOR dan dendanya, maksudnya apa tujuan seorang KORUPTOR itu diberi keringanan ?, Kalo gitu apa bener yang namanya DPR itu menjadi perwakilan Rakyat?, Apa karena Koruptor itu juga rakyat jadi mereka dilindungi?'", RUU KUHP harusnya yang paling disorot pengurangan masa tahanan KORUPTOR dan dendanya maksudnya apa tujuan seorang KORUPTOR itu diberi keringanan Kalo gitu apa bener yang namanya DPR itu menjadi perwakilan Rakyat Apa karena Koruptor itu juga rakyat jadi mereka dilindungi , ruu kuhp harusnya yang paling disorot pengurangan masa tahanan koruptor dan dendanya maksudnya apa tujuan seorang koruptor itu diberi keringanan kalo gitu apa bener yang namanya dpr itu menjadi perwakilan rakyat apa karena koruptor itu juga rakyat jadi mereka dilindungi ,"['ruu', 'kuhp', 'harusnya', 'yang', 'paling', 'disorot', 'pengurangan', 'masa', 'tahanan', 'koruptor', 'dan', 'dendanya', 'maksudnya', 'apa', 'tujuan', 'seorang', 'koruptor', 'itu', 'diberi', 'keringanan', 'kalo', 'gitu', 'apa', 'bener', 'yang', 'namanya', 'dpr', 'itu', 'menjadi', 'perwakilan', 'rakyat', 'apa', 'karena', 'koruptor', 'itu', 'juga', 'rakyat', 'jadi', 'mereka', 'dilindungi']","['ruu', 'kuhp', 'disorot', 'pengurangan', 'tahanan', 'koruptor', 'dendanya', 'maksudnya', 'tujuan', 'koruptor', 'keringanan', 'gitu', 'bener', 'namanya', 'dpr', 'perwakilan', 'rakyat', 'koruptor', 'rakyat', 'dilindungi']",ruu kuhp sorot kurang tahan koruptor denda maksud tuju koruptor ringan gitu bener nama dpr wakil rakyat koruptor rakyat lindung,"{'neg': 0.053, 'neu': 0.847, 'pos': 0.099, 'compound': 0.4448}",0.4448,positif
2022-12-13 21:19:42+00:00,1.60E+23,Depok - Bekasi,rudi_kadarisman,"b'Anggota Komisi III @FPD_DPR, @DKISantoso mendukung semangat pembaharuan hukum pidana melalui rekodifikasi KUHP sebagai produk warisan kolonial Belanda.\n\nKarenanya, FPD mengimbau pemerintah memastikan bhw implementasi RUU KUHP tak akan merugikan rakyat.\nhttps://t.co/Bula0GXzpq'","b'Anggota Komisi III ,  mendukung semangat pembaharuan hukum pidana melalui rekodifikasi KUHP sebagai produk warisan kolonial Belanda.\n\nKarenanya, FPD mengimbau pemerintah memastikan bhw implementasi RUU KUHP tak akan merugikan rakyat.\nhttps://t.co/Bula0GXzpq'", Anggota Komisi mendukung semangat pembaharuan hukum pidana melalui rekodifikasi KUHP sebagai produk warisan kolonial Belanda nKarenanya FPD mengimbau pemerintah memastikan bhw implementasi RUU KUHP tak akan merugikan rakyat , anggota komisi mendukung semangat pembaharuan hukum pidana melalui rekodifikasi kuhp sebagai produk warisan kolonial belanda nkarenanya fpd mengimbau pemerintah memastikan bhw implementasi ruu kuhp tak akan merugikan rakyat ,"['anggota', 'komisi', 'mendukung', 'semangat', 'pembaharuan', 'hukum', 'pidana', 'melalui', 'rekodifikasi', 'kuhp', 'sebagai', 'produk', 'warisan', 'kolonial', 'belanda', 'nkarenanya', 'fpd', 'mengimbau', 'pemerintah', 'memastikan', 'bhw', 'implementasi', 'ruu', 'kuhp', 'tak', 'akan', 'merugikan', 'rakyat']","['anggota', 'komisi', 'mendukung', 'semangat', 'pembaharuan', 'hukum', 'pidana', 'rekodifikasi', 'kuhp', 'produk', 'warisan', 'kolonial', 'belanda', 'nkarenanya', 'fpd', 'mengimbau', 'pemerintah', 'bhw', 'implementasi', 'ruu', 'kuhp', 'merugikan', 'rakyat']",anggota komisi dukung semangat baharu hukum pidana rekodifikasi kuhp produk waris kolonial belanda nkarenanya fpd imbau perintah bhw implementasi ruu kuhp rugi rakyat,"{'neg': 0.185, 'neu': 0.636, 'pos': 0.179, 'compound': -0.3291}",-0.3291,negatif
2022-12-13 17:25:12+00:00,1.60E+23,"DKI Jakarta, Indonesia",al_fatihmuj,b'@geloraco Pribumi di bikin gaduh antek oligarki sementara oligarki rampok SDA NKRI dan sutradarai Mega koruptor TSM dilindungi RUU  KUHP . Pribumi bersatu waspada adu domba',b' Pribumi di bikin gaduh antek oligarki sementara oligarki rampok SDA NKRI dan sutradarai Mega koruptor TSM dilindungi RUU  KUHP . Pribumi bersatu waspada adu domba', Pribumi bikin gaduh antek oligarki sementara oligarki rampok SDA NKRI dan sutradarai Mega koruptor TSM dilindungi RUU KUHP Pribumi bersatu waspada adu domba , pribumi bikin gaduh antek oligarki sementara oligarki rampok sda nkri dan sutradarai mega koruptor tsm dilindungi ruu kuhp pribumi bersatu waspada adu domba ,"['pribumi', 'bikin', 'gaduh', 'antek', 'oligarki', 'sementara', 'oligarki', 'rampok', 'sda', 'nkri', 'dan', 'sutradarai', 'mega', 'koruptor', 'tsm', 'dilindungi', 'ruu', 'kuhp', 'pribumi', 'bersatu', 'waspada', 'adu', 'domba']","['pribumi', 'gaduh', 'antek', 'oligarki', 'oligarki', 'rampok', 'sda', 'nkri', 'sutradarai', 'mega', 'koruptor', 'tsm', 'dilindungi', 'ruu', 'kuhp', 'pribumi', 'bersatu', 'waspada', 'adu', 'domba']",pribumi gaduh antek oligarki oligarki rampok sda nkri sutradara mega koruptor tsm lindung ruu kuhp pribumi satu waspada adu domba,"{'neg': 0.214, 'neu': 0.721, 'pos': 0.065, 'compound': -0.765}",-0.765,negatif
2022-12-13 17:10:01+00:00,1.60E+23,,Faraz_kepri,b'@Alivia78274464 Taruhan yuk...pasti berkolerasi sama kasus Sambo aturan yg di buat dlm RUU KUHP terbaru \xf0\x9f\x98\x81',b' Taruhan yuk...pasti berkolerasi sama kasus Sambo aturan yg di buat dlm RUU KUHP terbaru \xf0\x9f\x98\x81', Taruhan yuk pasti berkolerasi sama kasus Sambo aturan buat dlm RUU KUHP terbaru , taruhan yuk pasti berkolerasi sama kasus sambo aturan buat dlm ruu kuhp terbaru ,"['taruhan', 'yuk', 'pasti', 'berkolerasi', 'sama', 'kasus', 'sambo', 'aturan', 'buat', 'dlm', 'ruu', 'kuhp', 'terbaru']","['taruhan', 'yuk', 'berkolerasi', 'sambo', 'aturan', 'dlm', 'ruu', 'kuhp', 'terbaru']",taruh yuk berkolerasi sambo atur dlm ruu kuhp baru,"{'neg': 0.154, 'neu': 0.724, 'pos': 0.122, 'compound': -0.1779}",-0.1779,negatif
2022-12-13 15:44:44+00:00,1.60E+23,,askatirafaskaji,b'@GratisTerbaik Dan pernyataan di google langsung ditutupi dgn hoax.. Cara membodohi rakyat dgn informasi yg minim dan berita yg diterima masyarakat lgsung dibungkus dgn RUU KUHP yg baru. https://t.co/GK0XDfnA8u',b' Dan pernyataan di google langsung ditutupi dgn hoax.. Cara membodohi rakyat dgn informasi yg minim dan berita yg diterima masyarakat lgsung dibungkus dgn RUU KUHP yg baru. https://t.co/GK0XDfnA8u', Dan pernyataan google langsung ditutupi dgn hoax Cara membodohi rakyat dgn informasi minim dan berita diterima masyarakat lgsung dibungkus dgn RUU KUHP baru , dan pernyataan google langsung ditutupi dgn hoax cara membodohi rakyat dgn informasi minim dan berita diterima masyarakat lgsung dibungkus dgn ruu kuhp baru ,"['dan', 'pernyataan', 'google', 'langsung', 'ditutupi', 'dgn', 'hoax', 'cara', 'membodohi', 'rakyat', 'dgn', 'informasi', 'minim', 'dan', 'berita', 'diterima', 'masyarakat', 'lgsung', 'dibungkus', 'dgn', 'ruu', 'kuhp', 'baru']","['pernyataan', 'google', 'langsung', 'ditutupi', 'hoax', 'membodohi', 'rakyat', 'informasi', 'minim', 'berita', 'diterima', 'masyarakat', 'lgsung', 'dibungkus', 'ruu', 'kuhp']",nyata google langsung tutup hoax bodoh rakyat informasi minim berita terima masyarakat lgsung bungkus ruu kuhp,"{'neg': 0.173, 'neu': 0.769, 'pos': 0.058, 'compound': -0.6369}",-0.6369,negatif
